id,smiles
0,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2n1
1,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
2,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
3,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4
4,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
5,[NH3+]C(Cc1ccc([NH+](CCCl)CCCl)cc1)C(=O)[O-]
6,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
7,CC(=O)Nc1ccc(OC(C)=O)cc1
8,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c([O-])c([N+](=O)[O-])c1
9,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
10,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C-]1c1cccc([N+](=O)[O-])c1
11,Nc1ccc(N=Nc2ccccc2)c(N)n1
12,O=C([O-])c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
13,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
14,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
15,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC
16,COc1ccccc1OCC[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12
17,O=C1CCC(C(=O)N2CSCC2C(=O)[O-])N1
18,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
19,COc1c2occc2cc2ccc(=O)oc12
20,c1ccc(C2CN3CCSC3=N2)cc1
21,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
22,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
23,N#Cc1ccc2c(c1)N(CCC[NH+]1CCC(O)CC1)c1ccccc1S2
24,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
25,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
26,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC
27,CCCCCOC(=O)[N-]c1nc(=O)n(C2OC(C)C(O)C2O)cc1F
28,CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
29,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
30,C[NH2+]CCC(Oc1cccc2ccccc12)c1cccs1
31,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCC[NH2+]1
32,CC[NH+](CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
33,O=c1[nH]c2ccccc2n1C1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
34,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
35,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-]
36,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1
37,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)[O-])CC2CCCC21
38,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1
39,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
40,CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1
41,CNC(=C[N+](=O)[O-])NCCSCc1ccc(C[NH+](C)C)o1
42,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
43,CC[NH+](CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
44,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1
45,CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1
46,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
47,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1
48,[NH3+]C12CC3CC(CC(C3)C1)C2
49,CSc1ccc2c(c1)C(N1CC[NH+](C)CC1)Cc1ccccc1S2
50,COc1ccc(CN2CC[NH2+]CC2)c(OC)c1OC
51,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
52,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)[O-])cc1OC
53,CC[NH+]1CCC(CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1
54,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
55,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2[NH+](C)C1
56,C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
57,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
58,Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
59,COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
60,CC[NH+](CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
61,CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1
62,CC(Oc1c(Cl)cccc1Cl)C1=[NH+]CCN1
63,COCCc1ccc(OCC(O)C[NH2+]C(C)C)cc1
64,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1
65,CC12CC3CC(C)(C1)CC([NH3+])(C3)C2
66,C=CCc1ccccc1OCC(O)C[NH2+]C(C)C
67,C[NH+]1CCC(OC(c2ccccc2)c2ccccc2)CC1
